author_name,username,profile_type,post_id,published_at,content,likes,comments,shares,engagement_total,comment_to_like_ratio,media_type,hashtags,post_url
Nicolas Boucher,bouchernicolas,partner,7387838107804467200,2025-10-25 13:11:04.014,"One thing I love about my job:
meeting in real life like minded people
The AI Finance Club is a real magnet for CFOs and Finance execs who have a huge appetite to learn and are open to the world.

Yesterday I met 10 of the 1,400 members of the AI Finance Club.

They have all an amazing trajectory, worked in several countries, speak several languages, love using technology but are also business oriented.

When I created the AI Finance Club, I didn’t think that the best part about building this would be meeting smart people I could myself also learn from.
So far it has been the best aspect about it!

If you also feel that you have this mindset, but don’t find enough like minded people like you at your job or in your close environment, you can get a taste of the AI Finance Club in my free event next Tuesday 28 October.

Link here to apply: https://lnkd.in/e7BP7-ge",69,11,1,81,15.94,text,[],https://www.linkedin.com/posts/bouchernicolas_one-thing-i-love-about-my-job-meeting-in-activity-7387838107804467200-w1RV
Wouter Born,wouterborn,inspiration,7387824017275170816,2025-10-25 12:15:04.851,"2003: Finance Intern at Target
2019: CFO at Target, a $100B+ retailer
2025: Incoming CEO & COO at Target

Michael Fiddelke rose from finance intern to CEO. 

All at the same company. 
20+ years at Target.
Rotated across:

- Finance
- Strategy
- Operations
- Merchandising

Became CFO, then COO, now CEO.

His journey shows 2 things:

1. Finance is the strongest training ground for executive leadership.

2. Long-term growth inside one company can be just as powerful as jumping around. 

From spreadsheets to the corner office. 

His career proves finance can be a direct path to the CEO role.

P.S. You can do advanced financial modeling with AI in 5 minutes: https://lnkd.in/eyirAge5",194,6,2,202,3.09,text,[],https://www.linkedin.com/posts/wouterborn_2003-finance-intern-at-target-2019-cfo-activity-7387824017275170816-D1Cp
Nathan Saperia,nathansaperia,inspiration,7387503212666458112,2025-10-24 15:00:19.072,"The 𝗯𝗮𝘁𝘁𝗹𝗲 𝗹𝗶𝗻𝗲𝘀 𝗮𝗿𝗲 𝗯𝗲𝗶𝗻𝗴 𝗱𝗿𝗮𝘄𝗻 in accounting.

🟢 RSM (#𝟱) and BDO (#𝟲) both went public this week rejecting outside capital — positioning their new structures as 𝘢𝘭𝘵𝘦𝘳𝘯𝘢𝘵𝘪𝘷𝘦𝘴 𝘵𝘰 𝘱𝘳𝘪𝘷𝘢𝘵𝘦 𝘦𝘲𝘶𝘪𝘵𝘺.

🔵 Meanwhile, Crowe has opened the door to PE, joining 𝗕𝗮𝗸𝗲𝗿 𝗧𝗶𝗹𝗹𝘆 (𝗛&𝗙), 𝗚𝗿𝗮𝗻𝘁 𝗧𝗵𝗼𝗿𝗻𝘁𝗼𝗻 (𝗡𝗠𝗖), 𝗪𝗶𝗽𝗳𝗹𝗶 (𝗖𝗵𝗮𝗿𝗹𝗲𝘀𝗯𝗮𝗻𝗸), and 𝗖𝗼𝗵𝗻𝗥𝗲𝘇𝗻𝗶𝗰𝗸 (𝗔𝗽𝗮𝘅) on the other side. 𝗖𝗕𝗜𝗭 has taken external equity in a public float.

Different choices — same underlying need: capital for tech, M&A, and new comp models.

But the harder part isn’t funding change. 
It’s 𝘁𝗵𝗶𝗻𝗸𝗶𝗻𝗴 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁𝗹𝘆 𝗲𝗻𝗼𝘂𝗴𝗵 𝘁𝗼 𝗹𝗲𝗮𝗱 𝗶𝘁.

The profession has been run on the same partnership logic for a century. 
That insularity can’t survive what’s coming next.

Firms taking PE will get that outside pressure whether they’re ready or not. 
The ones staying independent will need to 𝘪𝘯𝘷𝘪𝘵𝘦 𝘪𝘵 𝘪𝘯 — intentionally — if they want to evolve.

That’s where I come in: helping firms build modern finance and decision frameworks that bring the rigor and perspective of private equity — with or without giving up ownership.

#Accounting #PrivateEquity #OCFO #FinanceTransformation",7,0,1,8,0.00,text,"[""#Accounting"", ""#PrivateEquity"", ""#OCFO"", ""#FinanceTransformation""]",https://www.linkedin.com/posts/nathansaperia_accounting-privateequity-ocfo-activity-7387503212666458112-hQnT
Christian Watting,christian-wattig,inspiration,7387495619973623809,2025-10-24 14:30:08.833,"We tried “cut 10% across the board.” 

It backfired in 2 weeks. 

What worked: prove the first dollar. 

That’s ZBB—made sustainable when AI reduces friction. 

On Oct 29, I’ll show: 

• When ZBB beats incremental
  
• The low-drama rollout
  
• How AI (ChatGPT, Gemini, Copilot) finds hidden assumptions and outliers. 

Free, 1 CPE, sponsored by Paystand. 

Save your seat:

https://hubs.ly/Q03MZ_tN0",9,0,0,9,0.00,text,[],https://www.linkedin.com/posts/christian-wattig_we-tried-cut-10-across-the-board-it-activity-7387495619973623809-uvvd
Erik Lidman,eriklidman,inspiration,7387494506415190017,2025-10-24 14:25:43.34,"The trend of finance people quitting jobs is real.

I have spent 25 years of my life working in the FP&A / EPM / CPM space, both as a consultant and within software companies delivering FP&A solutions. 

Now, I'm the CEO and founder of Aimplan, with the purpose of changing how companies work with planning, forecasting, budgeting, and financial reporting.",18,0,0,18,0.00,text,[],https://www.linkedin.com/posts/eriklidman_cfos-are-becoming-founders-i-recently-spoke-activity-7387494506415190017-dTZ9
Erik Lidman,eriklidman,inspiration,7387461650884259840,2025-10-24 12:15:09.971,"I spoke with an FP&A leader who told me something that clarified everything:

""Most FP&A teams are optimizing old processes. The best ones are rebuilding from zero.""

The reality:

- 25% = actual analysis
- Most forecasts still miss by 25%+
- 75% of FP&A time = data gathering

Top companies like Microsoft are already running autonomous agents in their ERP systems.

Not assistants.

Not copilots.

Digital colleagues doing the actual work.

Their Account Reconciliation Agent matches ledger entries and flags discrepancies automatically. Their Supplier Communications Agent chases late shipments without human touch. Period-end close accelerates. Manual work vanishes.

81% of enterprise leaders expect agents deeply integrated within 18 months.

This isn't coming.

It's here.

The best FP&A teams aren't tweaking spreadsheets.

They're building intelligence hubs where:

- Anomalies self-detect
- Forecasts update in real-time
- Entire workflows run autonomously

The gap between leaders and laggards?

Exponential.

What you need to do:

1. Prototype fast.
2. Own the intelligence layer.
3. Abandon manual data pulls.
4. Train on system architecture.
5. Build autonomous forecast engines.
6. Design agent collaboration frameworks.

What's at stake:

Your seat at the table.
Your career trajectory.
Your relevance in 18 months.

Tool-users get replaced.
System-builders lead.

Your choice.",58,15,1,74,25.86,text,[],https://www.linkedin.com/posts/eriklidman_i-spoke-with-an-fpa-leader-who-told-me-something-activity-7387461650884259840-WZml
Wouter Born,wouterborn,inspiration,7387461614561742848,2025-10-24 12:15:01.311,"I tried ChatGPT Atlas for CFOs and asked the browser to apply a vendor master list to categorize transactions in quickbooks. The future of finance won't be the same.

The AI conversation just changed. Again.

This week, OpenAI dropped its Atlas browser.

And 99% of people are missing the point.

They’re sharing demos of the agent summarizing articles or booking a hotel. These are toys. For years, automation for finance has meant a terrible choice between two flawed models:

Brittle RPA: You pay a Big 4 firm $250k to build a bot that logs into your ERP. It’s a script that mimics mouse clicks. The second your IT team updates a single UI element, the bot shatters, and you’re back to paying for maintenance. It’s automation built on a house of cards.

Black-Box APIs: You pay for a complex integration between NetSuite, Coupa, and Stripe. It’s powerful, but it’s a black box. You have no idea what it’s really doing. When it fails, you don’t know why. You can’t see its work, you can’t fix it, and you’re 100% dependent on developers to maintain it.

Atlas Agent Mode is the start of a new paradigm. Glass-Box Automation.

It’s an AI agent that uses the exact same UI you use.

It sees what you see. It clicks what you click. It reads what you read.

This is a breakthrough for one reason. Trust.

You can finally watch the AI work, in real time, across all your tabs, and take back control at any second.

Stop seeing this as a summarization tool.

The leaders who see it as a UI-based workflow orchestrator will automate their entire department.

Today, I’m giving you a real reason to think about a real finance process, one that APIs and RPA have failed to solve cleanly.

Let’s dive in: https://lnkd.in/dfyTmsMT

26,000+ CFOs and finance leaders from the world’s biggest companies are reading this and I want to keep finance ahead of all the noise and give a clear picture of what’s happening and where the most ROI is.",105,17,5,127,16.19,text,[],https://www.linkedin.com/posts/wouterborn_i-tried-chatgpt-atlas-for-cfos-and-asked-activity-7387461614561742848-cjNB
Nicolas Boucher,bouchernicolas,partner,7387454480654696449,2025-10-24 11:46:40.455,"2,731 CFOs & finance leaders are joining me next week.
I JUST finalized the slides for my AI CFO October 2025 Webinar...
 …and I’ve decided to show you a preview of the deck

I'll teach you 5 battle-tested AI plays top finance teams are using right now
(each case helped unlock 5–10 hours/month of capacity)

What’s inside (finance use cases only):
- Analysis → Story in minutes: Turn Actuals vs Budget into an exec one-pager + Q&A that your CEO will actually read

- Financial Modeling: how to make AI draft your scenario analysis and build a what if scenario comparison tool

- Close faster: Two tiny automations (data cleaning + expense categorization) that typically cut prep time from a few hours to a few minutes

- Security that Finance & IT sign off on: Which enterprise licenses should you take (ChatGPT/Copilot/Gemini/Claude)?

- Your 90-day AI roadmap: The 4 steps I teach CFOs to go from beginner to AI leaader

Bonus: how to create a dashboard with AI

No catch... just one limitation: we are soon going to be over limit

👉 Like this post and tag somebody who should come with you
Then go here to reserve your seat here: https://lnkd.in/e7BP7-ge

Why listen to me?
I’ve trained 10,000+ finance pros and work with brands like Mercedes-Benz, KPMG, and Rakuten on AI in Finance.
I run the AI Finance Club, the number one 1 community for AI CFOs.",119,12,1,132,10.08,text,[],https://www.linkedin.com/posts/bouchernicolas_2731-cfos-finance-leaders-are-joining-activity-7387454480654696449-3Ec3
Nicolas Boucher,bouchernicolas,partner,7387280420276690944,2025-10-23 22:49:05.052,"Stop wasting time on slides
Join the free AI CFO webinar to steal my tricks: https://lnkd.in/dK2w25Tk

Most finance teams still waste hours formatting dashboards and pitch decks
Join in the link above for a webinar on ""How to become an AI CFO""

Where I will personally demonstrate and teach:
✅ What, Why, and How to become an AI CFO
✅ My 3 secrets to accelerate your AI journey
✅ Real AI use cases in finance (scenario modeling, commentaries, analysis & more)

Become the CFO others copy, not the one catching up

Limited seats!

Tuesday Next week
October 28, 2025 starting at 12PM EST / 5PM CET / UK 4PM

—

This is how finance pros create stunning visuals in minutes using ChatGPT:

Most finance professionals still rely on outdated templates or spend hours building custom dashboards and pitch visuals.

But the top-performing consultants, FP&A leads, and CFOs?

They’ve started using ChatGPT to generate high-impact financial images instantly.

❌ Here’s what happens when you don’t use visual automation:
- You waste time formatting slide decks
- Your insights get lost in spreadsheets
- Your audience tunes out from info overload

✅ Now imagine this instead:
- You deliver client-ready visuals in minutes
- You generate branded dashboards at scale
- You turn insights into action with less effort

Here’s a cheatsheet I created to help finance professionals do exactly that

10 Use Cases to Master:

1. Quality Infographics

2. Scenario Planning Diagrams

3. Forecast Walkthroughs

4. Client Dashboards

5. Process Improvement Diagrams

6. Storytelling Slides

7. KPI Pitch Decks

8. Visual Templates

9. Policy Change Explainers

10. Org Charts & Strategic Maps

Each section includes:
- A practical ChatGPT prompt
- An example output
- A ready-to-use visual format

—

👉 How to become an AI CFO webinar: https://lnkd.in/dK2w25Tk
Save the Date! October 28, 2025 starting at 12PM EST / 5PM CET / UK 4PM

Become the CFO others copy, not the one catching up",158,13,11,182,8.23,text,[],https://www.linkedin.com/posts/bouchernicolas_how-to-generate-image-with-chatgpt-activity-7387280420276690944-2Edf
Nicolas Boucher,bouchernicolas,partner,7387253325072715776,2025-10-23 22:27:21.085,"1500+ CFOs already registered. Will you join them?
👉 Register here for my AI bootcamp: https://lnkd.in/eUWnSDKV 
A CFO joined one of my corporate AI trainings last month.
Two weeks later, his team cut reporting time by 60%.
On Tuesday, October 28th, I’m revealing the exact same AI finance workflows for free
This isn’t theory
It’s what top finance teams at Mercedes, Chanel, and Siemens already use to save days every month.
Here’s what we’ll cover (live):
1. Build a full financial analysis in minutes with visuals ready for presentation

2. Generate a financial model from scratch, no coding skills required

3. Clean messy data instantly using AI scripts

…and much more, including a surprise gift for those who stay until the end.

You don’t need to be tech-savvy or have hours of free time
You just need to show up and I’ll give you everything you need to start
Reserve your free seat now before capacity is reached:

👉 Register here: https://lnkd.in/eUWnSDKV",88,10,1,99,11.36,text,[],https://www.linkedin.com/posts/bouchernicolas_1500-cfos-already-registered-will-you-join-activity-7387253325072715776-wHGf
