Author,Username,Date,Content,Likes,Comments,Shares,Total Engagement,Hashtags,URL,Workspaces
Eliezer Nerenberg,eliezer-nerenberg,2025-10-17,"I learned this the hard way: If you don't control the conversation structure, the conversation controls you.

Used to be, I'd jump on calls and just see where things went. Sometimes good, usually messy.

Now I start every important call the same way:

""Here's what I'm hoping to accomplish today: 

I want to understand your current Lien process and see if there's a way we can help streamline it. 

I'll ask some questions about how things work now, share what I've seen work for similar practices, and by the end we'll both know if it makes sense to keep talking. 

Sounds good?""

Three sentences. Sets the whole tone.

Why does this work? Because in the PI world, everyone's busy. Attorneys are juggling cases. Providers are seeing patients. Nobody has time for rambling sales calls.

When you're clear about the purpose upfront, people relax. They know what to expect.

This isn't a sales trick - it's just respect for people's time.

And honestly, it helps me too. When I know exactly what I'm trying to accomplish, I ask better questions and give better answers.

I picked this up after sitting through too many calls that went nowhere because nobody knew what we were actually trying to figure out.

Structure creates clarity. Clarity builds trust. Trust leads to partnerships.

How do you structure important conversations? I'm always looking for better ways to do this.",,,,,[],https://www.linkedin.com/posts/eliezer-nerenberg_i-learned-this-the-hard-way-if-you-dont-activity-7384966480582373377-JRxQ,Gain Company
Nate Saperia,nathansaperia,2025-10-16,"The “PE in Accounting” nightmare that never was...
On the surface, it looked like the moment the doomsayers had warned about. 
A Big 6 firm under pressure. Layoffs. 
And Apollo’s name in the debt documents.

For many, it felt like the proof point had finally arrived — 
that private equity had begun to inflict irreversible damage on accounting firms.

Except, the facts don’t hold. It wasn't PE at all.

BDO financed its ESOP with a $1.3B private-credit facility from Apollo. 
Their CEO said Apollo “took no ownership stake and was acting like a bank.” 
Ownership stayed with CPAs and employees. 
No board seats. No management control.

That doesn't make it any less painful. 
People lost jobs. Teams were disrupted. Careers were shaken. 
But this wasn’t PE pulling the strings — it was the consequence of leverage and timing.

And that difference matters. 
If we can’t tell credit from control, 
we’ll keep mistaking every capital experiment for an apocalypse.

#Accounting #PrivateEquity #OCFO",11,,1,12,"[""#Accounting"", ""#PrivateEquity"", ""#OCFO""]",https://www.linkedin.com/posts/nathansaperia_accounting-privateequity-ocfo-activity-7384677808561639424-Bo3R,Default
Gain,unknown,2025-10-16,"We’re live at Becker’s!

Our team is thrilled to connect with healthcare leaders and discuss smarter ways to drive Revenue Cycle success.


Visit us at Booth 101 and discover how we help providers go beyond settling — and start Gaining. 🚀

Don't Settle, GAIN. 

Darrin Zehr | Melissa Burnett | Connor Mosquera  

#BeckersConference #HealthcareRCM #GainServicing #HealthcareLeaders",14,1,5,20,"[""#BeckersConference"", ""#HealthcareRCM"", ""#GainServicing"", ""#HealthcareLeaders""]",https://www.linkedin.com/posts/gain-servicing_beckersconference-healthcarercm-gainservicing-activity-7384641546689638400-UfcG,Gain Company
Eliezer Nerenberg,eliezer-nerenberg,2025-10-16,"Let me tell you about the moment I realized we had a trust problem in this industry.

I was sitting in a lawyer's office in Atlanta. Great guy, been doing PI for 20 years.

He tells me: ""Eliezer, I've got three cases stuck with my current funder. No updates in two weeks. My clients are asking questions I can't answer.""
That hit me hard.

This wasn't about funding speed or rates. It was about trust.

Here's what happens when funding communication breaks down:

The attorney can't manage client expectations. The provider doesn't know when they'll get paid. The patient starts wondering if their care team is actually coordinated.

Everyone loses confidence.

I've seen this pattern hundreds of times over 15 years. Strong case, good care, but the funding gets stuck in some black box for weeks with no explanation.
The problem isn't usually the money - it's the silence.

So here's what we changed: Every case gets regular updates. Every provider knows exactly when payment hits. Every attorney has my direct number.
Is this more work for us? Absolutely. But it's the right work.

Because when you're dealing with people's medical care and legal recovery, trust isn't optional. It's everything.

I learned this the hard way early in my career. I thought being busy meant I was being productive. Wrong. Being responsive means you're being professional.

Now when lawyers call me, they get straight answers. When providers need updates, they get real timelines. When things go sideways (they always do sometimes), everyone knows what's happening and why.

This isn't about our process being perfect - it's about our communication being honest.

What's your biggest frustration with funding communication? I bet there's a way to fix it.",1,1,,2,[],https://www.linkedin.com/posts/eliezer-nerenberg_let-me-tell-you-about-the-moment-i-realized-activity-7384604057929199616-Jrdz,Gain Company
Saul Mateos,saulmateos,2025-10-16,"AI won’t replace great CFOs. It will replace the ones who don’t build systems.

Most CFOs talk about AI like it’s a concept.
For me, it’s a workflow.

A few weeks ago, I sat with Nicolas Boucher to walk through how I actually use AI in finance not theory, but daily practice.

Here’s what that looks like 👇

→ Every morning, an AI project preps me before meetings.
It pulls context from my calendar, emails, and notes so I walk into every call knowing what matters most.

→ I run multiple AIs in parallel.
While I’m building models, one is drafting insights.
While I’m in meetings, another is summarizing transcripts.
Work happens while I work.

→ Reporting is fully automated.
AI builds dashboards, flags anomalies, and generates the first draft of commentary, freeing my team to focus on decisions, not decks.

→ For pitch decks, I built a full chain.
Claude for structure.
Deep Research for validation.
GenSpark for polish.
What used to take two days now takes two hours.

But here’s what matters most.
AI isn’t about using tools. It’s about designing systems.
If you stack ten platforms without purpose, you create noise, not leverage.

So I’ve learned a few rules.
→ Orchestrate workflows, not tools.
→ Feed AI consistent context, not perfect data.
→ Build feedback loops for everything you do.

AI won’t replace CFOs.
But it will replace analysts, managers, and leaders who don’t adapt.

The ones who build systems will move faster.
The ones who don’t will get left behind.

Full conversation and real use cases are in the video.
Link in comments.",13,7,,20,[],https://www.linkedin.com/posts/saulmateos_ai-wont-replace-great-cfos-it-will-replace-activity-7384591477689204737-1gRp,Default
MoveDocs,unknown,2025-10-16,"Are you at ClioCon 2025 in Boston, MA? 👋

Be sure to visit the MoveDocs Booth! We’d love the opportunity to meet you in person and show you how MoveDocs’ upcoming integration with Clio can help streamline workflows and strengthen your cases!

Plus, if you stop by for a quick demo of MoveDocs, you’ll receive a JBL Bluetooth Speaker! 🔊",20,,3,23,[],https://www.linkedin.com/posts/movedocs_are-you-at-cliocon-2025-in-boston-ma-activity-7384588408465174528-UUl5,Gain Company
Nate Saperia,nathansaperia,2025-10-16,"The rules of professional services are changing.
Fast.

For decades, growth only mattered if efficiency improved.
Now, growth itself can be a lever.

Ownership isn’t equal anymore.
Capital has its own kind of leverage.
And who benefits from growth depends on how the firm is financed —
not just how it’s run.

But the fundamentals still matter.
Delegation. Pricing. Margin discipline. Repeatability.
They’re still the engine.

Because in the end, it’s still Margin × Growth.
That equation hasn’t changed — it’s just gained new multipliers.

Professional services used to be driven purely by people.
Now the equation is People × Capital × Technology.

This edition looks at the first new lever — capital —
and how asymmetric ownership is reshaping firm economics.

Next time, we’ll turn to the second: technology —
the new form of leverage redefining what “efficiency” even means.

⬇️ Read the full piece:
“The Laws of Professional Services Are Being Rewritten.”
How well do the fundamentals hold up in the age of Private Equity?",10,2,1,13,[],https://www.linkedin.com/posts/nathansaperia_the-rules-of-professional-services-are-changing-activity-7384563966347333632-Y-20,Default
Nicolas Boucher,unknown,2025-10-15,"How is SAP using AI?

Next week, SAP is hosting a practical session for CFOs and finance leaders
👉 Get your free invitation here: https://lnkd.in/efg452QS

→ Why should you join?
In my previous jobs, I got promoted faster than my peers because I was always on top of how to use technology in Finance
This is why, if you use SAP or are in charge of the ERPs, you should be the first to know how SAP is changing and which new functionalities are coming

If you cannot attend, you can still register to get the recording:
👉 https://lnkd.in/efg452QS

With my partnership with SAP S/4HANA Cloud ERP, I got the chance to understand how Joule is going to help Finance.

Check the infographic to see real-world example on how Joule can be used by Finance

🌟 What Makes Joule helpful for finance?

1️⃣ Real-Time Insights at Your Fingertips
Instantly access key performance metrics and analytics for informed decision-making

2️⃣ Seamless Navigation with SAP S/4HANA
Analyze intricate details of your business processes effortlessly using Joule's intuitive interface

3️⃣ Efficient Collaboration with Joule
Generate detailed written summaries and data insights in seconds, saving hours of manual work

4️⃣ AI-Powered Insights for Decision-Making
Access visual decision support for critical metrics to stay ahead of your goals

5️⃣ Data-Driven Success with SAP Analytics
Compare projects with peers and uncover regional performance trends for smarter strategies

6️⃣ Global Project Portfolio Navigation
Gain instant context and insights for selected projects to streamline decision-making on the go

----

Next week SAP is discussing about
👉 Get your free invitation here: https://lnkd.in/efg452QS

Can’t attend live? No problem!
Register to access the replay anytime",25,1,2,28,[],https://www.linkedin.com/posts/bouchernicolas_how-is-sap-using-ai-next-week-sap-is-hosting-activity-7384334079397146624-aVjK,Default
Nate Saperia,nathansaperia,2025-10-15,"𝗕𝗿𝗲𝗮𝗸𝗶𝗻𝗴: $𝟮𝗕 𝘀𝗮𝗹𝗲. 𝗖𝗙𝗢 𝗼𝘂𝘁.
Citrin Cooperman just announced a CFO transition — 𝗟𝘆𝗱𝗶𝗮 𝗕𝗿𝗼𝘄𝗻 𝗶𝗻, 𝗟𝗮𝗿𝗿𝘆 𝗗𝗶𝗮𝗺𝗼𝗻𝗱 𝗼𝘂𝘁.

CFO turnover in PE-backed firms is 𝘣𝘳𝘶𝘵𝘢𝘭. 
But this one looks different.

Larry helped steer the firm from $𝟯𝟱𝟬𝗠 𝘁𝗼 𝗻𝗲𝗮𝗿𝗹𝘆 $𝟵𝟬𝟬𝗠 𝗶𝗻 𝗿𝗲𝘃𝗲𝗻𝘂𝗲 in just three years — 
and from roughly 𝟭𝟭× 𝘁𝗼 𝟭𝟱× 𝗘𝗕𝗜𝗧𝗗𝗔, culminating in a $𝟮𝗕+ 𝘀𝗮𝗹𝗲 𝘁𝗼 Blackstone .

That’s not a “pack your box” exit. 
It’s a 𝘮𝘶𝘵𝘶𝘢𝘭, 𝘸𝘦𝘭𝘭-𝘵𝘪𝘮𝘦𝘥 𝘩𝘢𝘯𝘥𝘰𝘧𝘧 — the rare case where everyone leaves happy.

He’s likely walking away in the position most CFOs dream of: 
financially set, reputation intact, and exiting on his own terms as the next chapter begins.

That’s the 𝟭 𝗶𝗻 𝟭𝟬𝟬 case. 
Most others end in misalignment, burnout, or a quiet “transition” when the next phase hits.

Because each stage of PE ownership demands a different CFO: 
𝗕𝘂𝗶𝗹𝗱 → 𝗦𝗰𝗮𝗹𝗲 → 𝗢𝗽𝘁𝗶𝗺𝗶𝘇𝗲 → 𝗜𝗻𝘀𝘁𝗶𝘁𝘂𝘁𝗶𝗼𝗻𝗮𝗹𝗶𝘇𝗲.

The problem? 
Most firms never build the finance infrastructure or leadership bench to evolve that way.

That’s where I come in. 
I’m not trying to 𝘣𝘦 the 1 in 100 CFO — 
I help 𝗺𝗮𝗸𝗲 𝘆𝗼𝘂 the 1 in 100 CFO. 

Quietly, behind the scenes, making you look brilliant to your Sponsor.",15,3,2,20,[],https://www.linkedin.com/posts/nathansaperia_%F0%9D%97%95%F0%9D%97%BF%F0%9D%97%B2%F0%9D%97%AE%F0%9D%97%B8%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4-%F0%9D%9F%AE%F0%9D%97%95-%F0%9D%98%80%F0%9D%97%AE%F0%9D%97%B9%F0%9D%97%B2-%F0%9D%97%96%F0%9D%97%99%F0%9D%97%A2-activity-7384202628119040000-VGnM,Default
Nicolas Boucher,unknown,2025-10-15,"Tomorrow I am showing you how to use ChatGPT for:
Financial Analysis / Automation / Benchmarking / Reporting
→ Register here (free) to learn from me: https://vrtc.io/48jirtn

(event sponsored by Vertice)

A preview of my 100 ChatGPT Tips

You probably use ChatGPT only at 5% of its potential

With this cheat sheet, 10X the way you use ChatGPT:

I've spend weeks to learn how to help you use ChatGPT faster and better

These 100 essential tips I've prepared will help improve your workflow, save time, and enhance your results.

Here’s a breakdown of the key areas inside:

FRAMEWORKS – Structure your prompts better for better results
Use these proven methods to ask better questions and get clearer responses:
• CSI + FBI (Context, Specific, Instruction + Format, Blueprint, Identity) - Best for overall precision
• STAR (Situation, Task, Action, Result) – Perfect for case studies & storytelling
• 5W+H (Who, What, When, Where, Why, How) – Helps with research & planning

SHORTCUTS – Work faster with these key commands
Boost your efficiency with these ChatGPT shortcuts:
• Open a new chat → Windows: Ctrl + Shift + O | Mac: Cmd + Shift + O
• Copy last response → Windows: Ctrl + Shift + C | Mac: Cmd + Shift + C
• Undo action → Windows: Ctrl + Z | Mac: Cmd + Z

DATA – Use ChatGPT for powerful data analysis
Enhance Excel & data analytics with AI-powered features:
• Convert text to a table – “Turn this info into a table format”
• Summarize data – “Summarize this dataset into key insights”
• Create pivot tables – “How would you structure this as a Pivot Table?”

ADVANCED – Unlock AI’s full potential
Level up your ChatGPT usage with advanced techniques:
• Train ChatGPT with specific prompts – “Use this reference doc to answer questions”
• Automate sentiment analysis – “Analyze this text for tone and emotion”
• Generate presentations – “Create a PowerPoint outline on AI trends”

Do you already use some of the tips provided?

Don't forget my free event where I will show you real use cases
Financial Analysis / Automation / Benchmarking / Reporting
→ Register here (free) to learn from me: https://vrtc.io/48jirtn",306,18,32,356,[],https://www.linkedin.com/posts/bouchernicolas_top-100-chatgpt-tips-activity-7384163908871278592-tZQ3,Default
